action_id,dashboard_page,decision_owner,signal_type,entity_grain,entity,priority,risk_score,estimated_impact_vnd,recommended_action,tradeoff,evidence
A01,Profit & Promotion Leakage,Commercial / Pricing,Promotion margin risk,category_segment,Streetwear / Balanced,High,34.08322959172813,340832295.91728127,"Tighten discount depth, exclude low-margin SKUs, or require higher minimum order value.",May reduce order volume but protects gross margin.,Promo margin compared with no-promo margin at category/segment grain.
A02,Profit & Promotion Leakage,Commercial / Pricing,Promotion margin risk,category_segment,Streetwear / Everyday,High,34.08116098662104,340811609.86621046,"Tighten discount depth, exclude low-margin SKUs, or require higher minimum order value.",May reduce order volume but protects gross margin.,Promo margin compared with no-promo margin at category/segment grain.
A03,Profit & Promotion Leakage,Commercial / Pricing,Promotion margin risk,category_segment,Streetwear / Performance,High,15.51099618614288,155109961.8614288,"Tighten discount depth, exclude low-margin SKUs, or require higher minimum order value.",May reduce order volume but protects gross margin.,Promo margin compared with no-promo margin at category/segment grain.
A04,"Customer, Channel & Payment Risk",Finance / Operations,Payment risk,payment_method,cod,Critical,50.680413788664374,249175400.0645915,Use payment-specific incentives and controls; prioritize prepaid methods where risk is lower.,May lower COD convenience but reduces failed or refunded demand.,Cancellation plus return-record rate by payment method.
A05,"Returns, Reviews & Fulfillment",Merchandising / CX,Wrong-size return risk,category_size,Streetwear / XL,High,47.19181937,47191819.37,Improve size guidance and target the worst category-size combinations first.,Requires UX/content work but reduces refund leakage.,Wrong-size return records and refunds by category/size.
A06,"Returns, Reviews & Fulfillment",Merchandising / CX,Wrong-size return risk,category_size,Streetwear / S,High,32.44929451,32449294.51,Improve size guidance and target the worst category-size combinations first.,Requires UX/content work but reduces refund leakage.,Wrong-size return records and refunds by category/size.
A07,"Returns, Reviews & Fulfillment",Merchandising / CX,Wrong-size return risk,category_size,Streetwear / M,High,30.62086574,30620865.74,Improve size guidance and target the worst category-size combinations first.,Requires UX/content work but reduces refund leakage.,Wrong-size return records and refunds by category/size.
A08,Inventory Actions,Supply Chain,Stockout risk,product,HanoiStreet RP-08 (720),High,36.55260204444444,,Prioritize replenishment and allocation review for high-demand products with low fill rate.,Higher inventory commitment but reduces lost sales risk.,"Recent six-month stockout days, fill rate, and units sold."
A09,Inventory Actions,Supply Chain,Stockout risk,product,HanoiStreet RP-07 (719),High,34.425806,,Prioritize replenishment and allocation review for high-demand products with low fill rate.,Higher inventory commitment but reduces lost sales risk.,"Recent six-month stockout days, fill rate, and units sold."
A10,Inventory Actions,Supply Chain,Stockout risk,product,MekongFit UE-13 (1177),High,30.827941666666675,,Prioritize replenishment and allocation review for high-demand products with low fill rate.,Higher inventory commitment but reduces lost sales risk.,"Recent six-month stockout days, fill rate, and units sold."
A11,Inventory Actions,Supply Chain / Merchandising,Overstock risk,product,SaigonFlex UM-43 (438),Critical,99.82572614107883,,"Reduce receipts, bundle, or markdown products with excessive days of supply.",Markdowns reduce unit margin but free working capital.,Recent six-month days of supply and overstock score.
A12,Inventory Actions,Supply Chain / Merchandising,Overstock risk,product,SaigonFlex UM-96 (491),Critical,99.79668049792531,,"Reduce receipts, bundle, or markdown products with excessive days of supply.",Markdowns reduce unit margin but free working capital.,Recent six-month days of supply and overstock score.
A13,Inventory Actions,Supply Chain / Merchandising,Overstock risk,product,VietMotion YY-05 (2396),Critical,99.77600000000001,,"Reduce receipts, bundle, or markdown products with excessive days of supply.",Markdowns reduce unit margin but free working capital.,Recent six-month days of supply and overstock score.
A14,"Customer, Channel & Payment Risk",Marketing,Channel quality risk,traffic_source,email_campaign,High,13.65686424236545,312008801.3912877,Shift spend toward channels with stronger revenue quality and lower order risk.,Lower traffic volume is acceptable if revenue quality improves.,Order revenue by source divided by traffic sessions from the matching source.
A15,"Customer, Channel & Payment Risk",Marketing,Channel quality risk,traffic_source,organic_search,Medium,5.385199976080492,261563481.3507597,Shift spend toward channels with stronger revenue quality and lower order risk.,Lower traffic volume is acceptable if revenue quality improves.,Order revenue by source divided by traffic sessions from the matching source.
A16,"Customer, Channel & Payment Risk",Marketing,Channel quality risk,traffic_source,referral,Medium,3.054482602793309,51695898.65533475,Shift spend toward channels with stronger revenue quality and lower order risk.,Lower traffic volume is acceptable if revenue quality improves.,Order revenue by source divided by traffic sessions from the matching source.
